,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
25,frozenset({'furniture_decor'}),frozenset({'garden_tools'}),0.06630953360203998,0.036172575470922105,0.00017479641358887884,0.0026360676073809894,0.07287475589068945,-0.0022237901950725573,0.9663748539782374
26,frozenset({'home_construction'}),frozenset({'furniture_decor'}),0.005038249568150037,0.06630953360203998,0.00013366784568561322,0.026530612244897955,0.40010253132110335,-0.00020041613334909506,0.959136957096437
27,frozenset({'furniture_decor'}),frozenset({'home_construction'}),0.06630953360203998,0.005038249568150037,0.00013366784568561322,0.0020158164056442857,0.40010253132110335,-0.00020041613334909506,0.9969714618606278
28,frozenset({'housewares'}),frozenset({'furniture_decor'}),0.06050012338570371,0.06630953360203998,0.0002467714074195936,0.00407885791978246,0.0615123904243081,-0.003764963557152291,0.9375144546562452
29,frozenset({'furniture_decor'}),frozenset({'housewares'}),0.06630953360203998,0.06050012338570371,0.0002467714074195936,0.0037215072104202196,0.0615123904243081,-0.003764963557152291,0.9430092924958128
30,frozenset({'garden_tools'}),frozenset({'housewares'}),0.036172575470922105,0.06050012338570371,0.00011310356173398042,0.0031267765776009093,0.05168215207871415,-0.0020753417174354865,0.9424466968717121
31,frozenset({'housewares'}),frozenset({'garden_tools'}),0.06050012338570371,0.036172575470922105,0.00011310356173398042,0.0018694765465669613,0.05168215207871415,-0.0020753417174354865,0.9656326521248245
32,frozenset({'health_beauty'}),frozenset({'perfumery'}),0.09085300649831372,0.03251213292753146,0.0001233857037097968,0.0013580805794477138,0.04177150058025517,-0.0028304393204292588,0.9688035804003097
33,frozenset({'perfumery'}),frozenset({'health_beauty'}),0.03251213292753146,0.09085300649831372,0.0001233857037097968,0.003795066413662239,0.04177150058025518,-0.0028304393204292588,0.9126104106197879
34,frozenset({'health_beauty'}),frozenset({'sports_leisure'}),0.09085300649831372,0.07937813605330263,0.00014394998766142962,0.0015844273426889996,0.01996050073064266,-0.007067792323013305,0.9220828372061912
35,frozenset({'sports_leisure'}),frozenset({'health_beauty'}),0.07937813605330263,0.09085300649831372,0.00014394998766142962,0.0018134715025906734,0.01996050073064266,-0.007067792323013305,0.9107987009905292
36,frozenset({'sports_leisure_health_beauty'}),frozenset({'health_beauty'}),0.00014394998766142962,0.09085300649831372,0.00014394998766142962,1.0,11.00679040289724,0.00013087169849699358,inf
37,frozenset({'health_beauty'}),frozenset({'sports_leisure_health_beauty'}),0.09085300649831372,0.00014394998766142962,0.00014394998766142962,0.0015844273426889996,11.00679040289724,0.00013087169849699358,1.0014427633086629
38,frozenset({'housewares'}),frozenset({'sports_leisure'}),0.06050012338570371,0.07937813605330263,0.00011310356173398042,0.0018694765465669613,0.0235515299239529,-0.004689283463618005,0.9223461684764801
39,frozenset({'sports_leisure'}),frozenset({'housewares'}),0.07937813605330263,0.06050012338570371,0.00011310356173398042,0.0014248704663212435,0.0235515299239529,-0.004689283463618005,0.940840452388425
40,frozenset({'sports_leisure_health_beauty'}),frozenset({'sports_leisure'}),0.00014394998766142962,0.07937813605330263,0.00014394998766142962,1.0,12.597927461139896,0.00013252350595596943,inf
41,frozenset({'sports_leisure'}),frozenset({'sports_leisure_health_beauty'}),0.07937813605330263,0.00014394998766142962,0.00014394998766142962,0.0018134715025906734,12.597927461139895,0.00013252350595596943,1.0016725546451146
